code,ingredient,dosage,name,price
1190401G1050,エダラボン,３０ｍｇ１００ｍＬ１キット,エダラボン点滴静注３０ｍｇバッグ「タカタ」,1468.0
1190401G1069,エダラボン,３０ｍｇ１００ｍＬ１キット,エダラボン点滴静注液３０ｍｇバッグ「ＮＰ」,1174.0
1190401G1093,エダラボン,３０ｍｇ１００ｍＬ１キット,エダラボン点滴静注液３０ｍｇバッグ「明治」,1174.0
1190401G1131,エダラボン,３０ｍｇ１００ｍＬ１キット,エダラボン点滴静注バッグ３０ｍｇ「ＮＳ」,1468.0
1190401G1174,エダラボン,３０ｍｇ１００ｍＬ１キット,エダラボン点滴静注３０ｍｇバッグ「トーワ」,1160.0
1190402A1028,ナタリズマブ（遺伝子組換え）,３００ｍｇ１５ｍＬ１瓶,タイサブリ点滴静注３００ｍｇ,230345.0
1190403A1022,ヌシネルセンナトリウム,１２ｍｇ５ｍＬ１瓶,スピンラザ髄注１２ｍｇ,9493024.0
1190404G1020,ガルカネズマブ（遺伝子組換え）,１２０ｍｇ１ｍＬ１筒,エムガルティ皮下注１２０ｍｇシリンジ,42451.0
1190404G2026,ガルカネズマブ（遺伝子組換え）,１２０ｍｇ１ｍＬ１キット,エムガルティ皮下注１２０ｍｇオートインジェクター,42638.0
1190405G1024,オファツムマブ（遺伝子組換え）,２０ｍｇ０．４ｍＬ１キット,ケシンプタ皮下注２０ｍｇペン,230860.0
1190406G1029,エレヌマブ（遺伝子組換え）,７０ｍｇ１ｍＬ１キット,アイモビーグ皮下注７０ｍｇペン,38980.0
1190407G1023,フレマネズマブ（遺伝子組換え）,２２５ｍｇ１．５ｍＬ１筒,アジョビ皮下注２２５ｍｇシリンジ,39090.0
1190407G2020,フレマネズマブ（遺伝子組換え）,２２５ｍｇ１．５ｍＬ１キット,アジョビ皮下注２２５ｍｇオートインジェクター,39064.0
1190408A1025,レカネマブ（遺伝子組換え）,２００ｍｇ２ｍＬ１瓶,レケンビ点滴静注２００ｍｇ,45777.0
1190408A2021,レカネマブ（遺伝子組換え）,５００ｍｇ５ｍＬ１瓶,レケンビ点滴静注５００ｍｇ,114443.0
1190409A1020,ドナネマブ（遺伝子組換え）,３５０ｍｇ２０ｍＬ１瓶,ケサンラ点滴静注液３５０ｍｇ,66948.0
